geoid,median_income,no_vehicle,commuters_total,commuters_transit,transit_share
36005050400,,0.0,0.0,0.0,
36005051601,129109.0,252.0,2002.0,413.0,0.2062937062937063
36005051602,,0.0,0.0,0.0,
36047000100,165188.0,1285.0,2731.0,1206.0,0.4415964848041011
36047000200,78942.0,216.0,618.0,349.0,0.5647249190938511
36047000301,193158.0,1153.0,2219.0,1010.0,0.4551599819738621
36047000501,140795.0,1404.0,2271.0,742.0,0.32672831351827386
36047000502,169313.0,1069.0,1596.0,844.0,0.5288220551378446
36047000700,180515.0,1156.0,2402.0,1404.0,0.5845129059117402
36047000900,218500.0,1638.0,3211.0,1731.0,0.5390843973839925
36047001100,166250.0,689.0,1155.0,659.0,0.5705627705627706
36047001300,148542.0,709.0,1255.0,467.0,0.37211155378486055
36047001501,94323.0,1803.0,2941.0,1608.0,0.5467528051683102
36047001502,130471.0,2328.0,3360.0,1483.0,0.4413690476190476
36047001801,,0.0,0.0,0.0,
36047001802,,0.0,0.0,0.0,
36047001803,,0.0,0.0,0.0,
36047001804,,0.0,0.0,0.0,
36047002000,77969.0,229.0,786.0,380.0,0.48346055979643765
36047002100,250001.0,1089.0,3906.0,1740.0,0.445468509984639
36047002200,40708.0,919.0,1681.0,793.0,0.47174301011302794
36047002300,21841.0,1373.0,996.0,643.0,0.6455823293172691
36047002901,22943.0,1235.0,966.0,644.0,0.6666666666666666
36047003000,122861.0,208.0,783.0,310.0,0.3959131545338442
36047003101,173466.0,898.0,2035.0,1089.0,0.5351351351351351
36047003102,,0.0,0.0,0.0,
36047003300,125778.0,2163.0,2891.0,1623.0,0.5613974403320651
36047003400,103971.0,543.0,1709.0,653.0,0.3820947922761849
36047003500,142813.0,830.0,1461.0,745.0,0.5099247091033539
36047003600,85183.0,962.0,1965.0,956.0,0.4865139949109415
36047003700,169709.0,1855.0,2740.0,1608.0,0.5868613138686132
36047003800,142644.0,151.0,705.0,148.0,0.2099290780141844
36047003900,136307.0,781.0,1567.0,949.0,0.6056158264199106
36047004100,214275.0,892.0,1932.0,1069.0,0.5533126293995859
36047004300,162500.0,1323.0,2549.0,1345.0,0.5276579050608081
36047004400,135474.0,217.0,1048.0,475.0,0.4532442748091603
36047004500,165714.0,883.0,2318.0,978.0,0.42191544434857636
36047004600,,131.0,473.0,180.0,0.38054968287526425
36047004700,145417.0,437.0,1050.0,493.0,0.4695238095238095
36047004900,160694.0,453.0,1342.0,643.0,0.4791356184798808
36047005000,127431.0,207.0,1239.0,399.0,0.3220338983050847
36047005100,167650.0,437.0,1631.0,681.0,0.4175352544451257
36047005201,22625.0,594.0,694.0,305.0,0.43948126801152737
36047005202,103673.0,414.0,1567.0,580.0,0.37013401403956603
36047005301,166302.0,245.0,1418.0,359.0,0.2531734837799718
36047005302,129659.0,24.0,41.0,4.0,0.0975609756097561
36047005303,,0.0,0.0,0.0,
36047005400,79370.0,899.0,1880.0,1018.0,0.5414893617021277
36047005601,72788.0,719.0,1372.0,496.0,0.36151603498542273
36047005602,97750.0,397.0,948.0,436.0,0.459915611814346
36047005800,73483.0,823.0,1477.0,758.0,0.5132024373730535
36047005900,103578.0,235.0,777.0,224.0,0.2882882882882883
36047006000,69583.0,587.0,1299.0,712.0,0.5481139337952271
36047006200,74698.0,555.0,1199.0,660.0,0.5504587155963303
36047006300,175813.0,488.0,1303.0,524.0,0.40214888718342284
36047006400,82439.0,732.0,1549.0,647.0,0.4176888315041963
36047006500,178041.0,1126.0,3549.0,1444.0,0.4068751761059453
36047006600,90074.0,865.0,2127.0,1081.0,0.5082275505406676
36047006700,218393.0,612.0,2107.0,898.0,0.4261983863312767
36047006800,63010.0,1068.0,1658.0,1008.0,0.6079613992762364
36047006901,139384.0,446.0,1060.0,544.0,0.5132075471698113
36047006902,250001.0,570.0,1298.0,577.0,0.4445300462249615
36047007000,81755.0,643.0,1154.0,459.0,0.39774696707105717
36047007100,55521.0,1060.0,1727.0,916.0,0.5303995367689636
36047007200,63352.0,373.0,917.0,599.0,0.653217011995638
36047007400,70508.0,964.0,2493.0,1348.0,0.5407139991977538
36047007500,150854.0,1155.0,3055.0,1415.0,0.46317512274959083
36047007600,57147.0,833.0,2033.0,1228.0,0.6040334481062469
36047007700,199067.0,1430.0,3236.0,1549.0,0.47867737948084055
36047007800,66029.0,1061.0,2493.0,1201.0,0.4817488969113518
36047008000,75125.0,742.0,1667.0,822.0,0.4931013797240552
36047008200,44013.0,1018.0,1819.0,1158.0,0.6366135239142386
36047008400,97232.0,881.0,2106.0,1252.0,0.5944919278252612
36047008500,21988.0,2627.0,2022.0,749.0,0.3704253214638971
36047008600,,0.0,0.0,0.0,
36047008800,64741.0,975.0,1313.0,731.0,0.5567402894135567
36047009001,44026.0,253.0,676.0,353.0,0.522189349112426
36047009002,49565.0,318.0,535.0,351.0,0.6560747663551402
